,importance
BCUTd-1l,0.08473887882156192
AATS3i,0.05594231044949301
ATSC3c,0.04173646585318959
VE1_A,0.0411802903112552
BCUTs-1l,0.035173600345981895
AATSC3c,0.02652303162697206
ATSC1s,0.025677284570869596
NaasC,0.025024541465281755
GATS4dv,0.017184656584294255
ATSC1v,0.01661522889819018
AATSC1v,0.01541138061650483
SaasC,0.014939258514865692
AATSC0d,0.014850762060324811
BCUTd-1h,0.013948654743812624
AATSC0i,0.013780602599892552
AATS7Z,0.01338179015108456
AXp-1dv,0.01220086064008078
Xch-7d,0.011969110723234576
BCUTc-1h,0.01182166985281451
BCUTZ-1l,0.01170049223390265
GATS2c,0.011411214898209236
SaaaC,0.011084199295313917
MAXdssC,0.010819636366608668
AATSC7c,0.010119296228209014
AATSC0p,0.010089780787824566
AATSC4dv,0.009913675549043098
AATSC8s,0.009444145764351196
BCUTc-1l,0.009368032550700267
AATS0i,0.009213776604755317
ATSC4dv,0.008537866591768728
AXp-1d,0.008430246466758698
AATS7s,0.008165841761191135
AATSC3p,0.008055685193983246
RPCG,0.007958621033231725
GATS5c,0.007929175200596748
BCUTpe-1l,0.007571298224651375
AATSC0c,0.006260488604101994
AXp-2d,0.006194379759854197
GATS1i,0.0057381591892260286
ATSC4c,0.005721736295636114
BalabanJ,0.005655790456277771
GATS1c,0.0056242740593164696
AATS4i,0.00556022592590827
Xch-6d,0.005518999923366519
AATS2i,0.005423326059616084
AATSC5d,0.0053241794236505964
MAXsssCH,0.005310332683344374
ATSC6c,0.005300517593076158
AATS6s,0.0052739303266597865
MAXaaCH,0.005255808992291831
GATS3c,0.005248297023966729
GATS2s,0.005205346559598487
Xc-5dv,0.0051475131337247425
GATS1Z,0.0050689090027667945
AATSC4c,0.005038980697664019
PEOE_VSA2,0.005022959227506434
ATSC2c,0.0049428587652366055
BCUTv-1l,0.004860908595133841
AATSC3d,0.004785654628874719
ATSC2d,0.0047180580129353635
BCUTi-1h,0.004713287035227384
GATS1s,0.004603399216118318
ATSC7c,0.004599925243330354
GATS4se,0.004597070234036047
GATS2i,0.004559963464056854
Xc-5d,0.0045233820326179815
GATS4s,0.0044558033464975715
HybRatio,0.004448220126776507
AATSC3s,0.0042594510745490805
Xch-6dv,0.004172702820749629
Xch-7dv,0.004103868216561911
PEOE_VSA10,0.004090009860415823
AATSC4s,0.00399571041645202
ATSC1Z,0.003898809084644317
GATS3p,0.0038682818540867886
ATSC1p,0.0038603288044675743
AATSC7s,0.0038062035385216775
AATSC1s,0.0038031606710689715
AATS1s,0.003769801713102473
GATS2p,0.003761460884999609
nN,0.0037576934794159287
ATSC2se,0.0037288834491385706
AATS1i,0.0037234951195818738
AATS6i,0.0036666432641394783
MATS1s,0.0036331340262671084
PEOE_VSA13,0.0035177377405846617
VR3_A,0.0034539642423697886
Xc-3dv,0.0034164168383504453
SlogP_VSA4,0.0033079515924107185
GATS3se,0.003298862487221191
AATS8s,0.0031964385410275424
MAXaasC,0.0031483331478181836
AATSC4i,0.003137452250831959
ATSC5c,0.003088698132795214
MAXssCH2,0.0030154332226964824
Xch-5d,0.002888357083337542
SpMax_A,0.002878150729070583
AATSC3v,0.0028281573497386404
ATSC4p,0.0028174714496253567
MAXsCH3,0.0027899971063541384
BCUTs-1h,0.0027481390172769227
C2SP2,0.0027202504625245174
ATSC1se,0.0026485943751318243
GATS3i,0.0026387420922262144
GATS2se,0.002540395094912317
AATS4s,0.0025277928915678695
AATS0s,0.0024335562941688598
SpAbs_A,0.002371525394324684
BCUTdv-1l,0.002317586564221956
GATS8s,0.0021861418001225008
ATSC5d,0.002147492775827345
BCUTdv-1h,0.0020275870813727392
ATSC1d,0.002026366283273022
AATS6d,0.002014457844454184
ATSC6d,0.0019555429017532083
MATS2s,0.0019047172765512765
ATSC4i,0.0018934684929601375
AATSC5s,0.0016637939647572253
MATS2c,0.0016499440415085294
SMR_VSA6,0.001626121705013407
ATSC3i,0.0015610786656811803
RNCG,0.0014823712323179276
SdssC,0.0014670349095255444
EState_VSA6,0.0014069081402406287
SpMAD_A,0.0013294911357284995
MATS3Z,0.001307076945407441
AATSC2c,0.0012745471098767084
ATSC2Z,0.001178556285456634
AATSC0v,0.0011099376818443593
ATSC4s,0.0011022492649985483
AATSC3Z,0.0010976775262681918
BCUTZ-1h,0.0010781673192437784
AATS7dv,0.001070573470803739
Xch-5dv,0.0010679453617447024
ATSC1i,0.000964361471362427
AATSC1dv,0.0008608494537723837
AATSC1se,0.0008447118201630728
ATSC2s,0.0008433926423590223
AATS0Z,0.0008053476531020425
nAromAtom,0.0008021689588463604
AATS0d,0.0007890613471708885
MATS1c,0.0006857717026671242
NaaCH,0.0006681354229540198
PEOE_VSA5,0.0005210386033213381
GATS1se,0.00039643573956707245
PEOE_VSA6,0.00032035174738263535
C3SP2,0.0003069474749536488
nHetero,0.00014080881284855056
nO,7.536657373058027e-05
Xc-4d,5.9099770255360604e-05
NdO,2.878493389540296e-05
Xc-6d,1.2425056967274853e-05
