,importance
NaasC,0.04979404
AATS3i,0.04972137
VE1_A,0.04671909
BCUTd-1l,0.036032893
PEOE_VSA13,0.03233854
ATSC1s,0.026221745
ATSC3c,0.024606893
AATSC1v,0.022191415
ATSC1v,0.02181952
MAXsssCH,0.021470318
nAromAtom,0.01587928
Xch-6dv,0.0150882
PEOE_VSA2,0.014741322
BCUTs-1h,0.014155086
BCUTs-1l,0.014145165
AATSC0p,0.014032336
AATS7Z,0.013502666
AATS0s,0.012282614
ATSC4s,0.012203378
AATSC3c,0.011592666
AATSC0d,0.011385897
BCUTZ-1l,0.010945608
BCUTpe-1l,0.010461431
AATSC0i,0.01031231
GATS1Z,0.01023492
BCUTd-1h,0.010155673
Xc-5dv,0.009511077
GATS4s,0.009506389
AATS7s,0.009216531
SaaaC,0.009106435
ATSC2c,0.009046614
C2SP2,0.0090264045
AATSC4dv,0.008851847
MATS1s,0.008820144
AATSC1s,0.008589742
BCUTi-1h,0.0084979115
AATSC3p,0.008318219
GATS1i,0.00827017
ATSC4c,0.0082249725
GATS2c,0.008172542
MAXdssC,0.00798519
BCUTv-1l,0.007189419
ATSC1p,0.0070506893
GATS1s,0.007038415
GATS4dv,0.0070340424
GATS3p,0.0067072245
Xch-5d,0.0064905393
SlogP_VSA4,0.00644684
GATS2i,0.0062939837
SaasC,0.006088711
AATS4i,0.0059050466
AATS6s,0.005874198
MAXssCH2,0.005781265
nN,0.005774196
AATSC3d,0.005573456
Xch-7d,0.0053868922
AATS6i,0.005357094
GATS1c,0.0051976265
AATSC0c,0.0051833275
Xc-5d,0.0050097657
Xc-3dv,0.0048964787
ATSC4dv,0.0047769197
GATS5c,0.0046872417
AXp-2d,0.004673857
AXp-1dv,0.004451251
AATSC8s,0.0043966025
MATS2c,0.0043182666
PEOE_VSA10,0.004315352
BCUTdv-1l,0.0041322107
SMR_VSA6,0.004132164
AATS0i,0.0040214895
GATS2s,0.0039898916
VR3_A,0.0039885226
MAXaaCH,0.003973522
AATS6d,0.0038657591
SpAbs_A,0.0036426561
BCUTc-1l,0.0036218427
GATS2se,0.0035863442
Xch-6d,0.0035663221
AATS1s,0.0035066516
EState_VSA6,0.0034552596
BCUTc-1h,0.0034411883
ATSC6c,0.0034397522
ATSC1d,0.0033856647
nHetero,0.0033169212
nO,0.0033115984
AATSC4c,0.0031890299
AATS7dv,0.0031650902
ATSC2se,0.0031263495
GATS3c,0.0030820216
GATS2p,0.0029621336
BCUTdv-1h,0.0029582242
ATSC3i,0.0029018687
AXp-1d,0.0027570853
AATSC3v,0.002743448
ATSC2s,0.0027377608
AATS4s,0.0026074667
Xch-5dv,0.0025553717
SpMax_A,0.0025154657
RPCG,0.0024767888
SpMAD_A,0.0023516794
AATSC7s,0.0022792863
PEOE_VSA6,0.0022534935
GATS3i,0.002232744
AATS1i,0.0022119489
PEOE_VSA5,0.0021753253
Xch-7dv,0.0021080216
ATSC2Z,0.0020861677
AATSC4s,0.0020673743
MATS1c,0.0020123527
AATSC5d,0.001989526
NaaCH,0.0019775422
RNCG,0.0019456439
AATS8s,0.0018650994
ATSC5c,0.0018270102
GATS3se,0.0018268884
HybRatio,0.0017921727
AATSC7c,0.0017495559
GATS4se,0.0017382758
SdssC,0.0016875096
GATS8s,0.0016665341
AATS0Z,0.001661418
AATSC1dv,0.0016490247
ATSC4i,0.0016437661
ATSC6d,0.001616631
ATSC1i,0.0016068596
ATSC1se,0.0016003314
MAXsCH3,0.0015964438
BalabanJ,0.0015763845
NdO,0.0015633424
AATSC3s,0.0015427119
ATSC5d,0.0015364919
AATS0d,0.0013962085
ATSC4p,0.0013498066
AATSC5s,0.0013285811
AATSC1se,0.0013088041
ATSC7c,0.0013080245
ATSC1Z,0.0012936578
BCUTZ-1h,0.0012000066
GATS1se,0.0011799817
AATSC3Z,0.0010306133
AATS2i,0.0010157761
ATSC2d,0.0009930292
MATS3Z,0.0008796313
C3SP2,0.0008590763
AATSC0v,0.0008198957
MATS2s,0.00079378486
Xc-4d,0.0007884957
MAXaasC,0.00067229546
AATSC4i,0.0005812171
AATSC2c,0.00053046504
Xc-6d,0.0
